Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Derrick Henry,TEN,28,RB,9,9,202,923,9,41,56,4.6,102.6,1
Saquon Barkley,NYG,25,RB,9,9,198,931,6,39,68,4.7,103.4,1
Dameon Pierce,HOU,22,RB,9,9,165,772,3,46,75,4.7,85.8,3
Nick Chubb,CLE,27,RB,9,9,160,904,11,41,41,5.7,100.4,1
Josh Jacobs,LVR,24,RB,9,9,159,821,7,50,43,5.2,91.2,1
Joe Mixon,CIN,26,RB,9,9,151,585,6,35,31,3.9,65.0,0
Dalvin Cook,MIN,27,RB,9,9,145,727,6,33,81,5.0,80.8,1
Miles Sanders,PHI,25,RB,9,8,143,710,6,36,35,5.0,78.9,0
Jamaal Williams,DET,27,RB,9,5,142,604,9,38,51,4.3,67.1,2
Leonard Fournette,TAM,27,RB,10,9,135,462,3,27,17,3.4,46.2,0
Travis Etienne,JAX,23,RB,10,5,131,725,4,36,49,5.5,72.5,3
Aaron Jones,GNB,28,RB,10,10,131,738,2,37,36,5.6,73.8,2
Rhamondre Stevenson,NWE,24,RB,9,3,129,618,4,32,49,4.8,68.7,0
Jonathan Taylor,IND,23,RB,7,7,129,609,2,29,66,4.7,87.0,2
Najee Harris,PIT,24,RB,9,9,128,460,1,18,36,3.6,51.1,2
Christian McCaffrey,2TM,26,RB,9,8,125,563,4,30,49,4.5,62.6,1
Kenneth Walker III,SEA,22,RB,9,5,121,587,7,29,74,4.9,65.2,0
Raheem Mostert,MIA,30,RB,10,8,118,543,3,28,25,4.6,54.3,0
Jeff Wilson,2TM,27,RB,10,6,118,638,3,29,41,5.4,63.8,2
David Montgomery,CHI,25,RB,9,9,115,434,2,22,28,3.8,48.2,1
Alvin Kamara,NOR,27,RB,8,7,112,469,1,22,27,4.2,58.6,2
AJ Dillon,GNB,24,RB,10,2,111,454,1,26,27,4.1,45.4,1
Ezekiel Elliott,DAL,27,RB,7,7,109,443,4,26,27,4.1,63.3,0
Khalil Herbert,CHI,24,RB,10,1,108,643,4,22,63,6.0,64.3,0
Austin Ekeler,LAC,27,RB,9,9,104,451,6,20,71,4.3,50.1,3
Justin Fields,CHI,23,QB,10,10,104,749,6,48,67,7.2,74.9,12
Antonio Gibson,WAS,24,RB,10,6,103,372,3,24,20,3.6,37.2,0
Tony Pollard,DAL,25,RB,9,3,103,621,6,25,57,6.0,69.0,0
Tyler Allgeier,ATL,22,RB,9,4,102,443,1,20,44,4.3,49.2,0
James Robinson,2TM,24,RB,9,5,99,405,3,21,50,4.1,45.0,1
Jalen Hurts,PHI,24,QB,9,9,94,354,7,32,26,3.8,39.3,5
Brian Robinson Jr.,WAS,23,RB,6,4,93,305,2,19,24,3.3,50.8,0
Devin Singletary,BUF,25,RB,9,9,92,394,2,17,30,4.3,43.8,2
D'Onta Foreman,CAR,26,RB,10,3,91,426,4,20,60,4.7,42.6,0
Lamar Jackson,BAL,25,QB,9,9,86,635,2,38,79,7.4,70.6,4
Michael Carter,NYJ,23,RB,9,7,85,330,3,13,25,3.9,36.7,1
Kareem Hunt,CLE,27,RB,9,0,83,314,3,20,24,3.8,34.9,0
James Conner,ARI,27,RB,7,7,82,314,3,23,17,3.8,44.9,1
Melvin Gordon,DEN,29,RB,9,5,82,287,2,13,17,3.5,31.9,4
Breece Hall,NYJ,21,RB,7,2,80,463,4,20,62,5.8,66.1,1
Cordarrelle Patterson,ATL,31,RB,6,5,76,402,5,23,40,5.3,67.0,0
Kenyan Drake,BAL,28,RB,7,4,73,344,3,16,40,4.7,49.1,0
Damien Harris,NWE,25,RB,7,6,71,302,3,16,16,4.3,43.1,0
Eno Benjamin,ARI,23,RB,10,3,70,299,2,14,45,4.3,29.9,0
Clyde Edwards-Helaire,KAN,23,RB,9,6,69,293,3,14,52,4.2,32.6,0
Caleb Huntley,ATL,24,RB,8,0,69,331,1,17,30,4.8,41.4,1
Daniel Jones,NYG,25,QB,9,9,69,387,3,31,24,5.6,43.0,3
Josh Allen,BUF,26,QB,9,9,68,476,4,35,36,7.0,52.9,8
Darrell Henderson,LAR,25,RB,9,6,68,274,3,14,23,4.0,30.4,0
Marcus Mariota,ATL,29,QB,10,10,63,347,3,23,30,5.5,34.7,8
Cam Akers,LAR,23,RB,7,2,62,176,1,11,14,2.8,25.1,1
Isiah Pacheco,KAN,22,RB,9,3,60,279,1,10,22,4.7,31.0,3
Rachaad White,TAM,23,RB,10,1,60,222,1,16,29,3.7,22.2,1
Kyler Murray,ARI,25,QB,9,9,59,359,2,19,42,6.1,39.9,8
Latavius Murray,2TM,32,RB,5,0,57,217,3,12,14,3.8,43.4,0
Rashaad Penny,SEA,26,RB,5,5,57,346,2,15,41,6.1,69.2,1
Mark Ingram,NOR,33,RB,8,3,51,196,1,11,14,3.8,24.5,2
Javonte Williams,DEN,22,RB,4,4,47,204,0,9,17,4.3,51.0,1
Geno Smith,SEA,32,QB,10,10,45,218,1,13,24,4.8,21.8,4
Chase Edmonds,2TM,26,RB,9,2,44,129,2,6,28,2.9,14.3,0
Taysom Hill,NOR,32,TE,9,4,43,344,5,21,60,8.0,38.2,1
Deon Jackson,IND,23,RB,9,2,41,123,1,9,17,3.0,13.7,0
Alexander Mattison,MIN,24,RB,9,0,40,149,2,10,15,3.7,16.6,0
D'Andre Swift,DET,23,RB,6,4,40,253,2,8,50,6.3,42.2,0
Jacoby Brissett,CLE,30,QB,9,9,38,182,2,23,21,4.8,20.2,5
Jaylen Warren,PIT,24,RB,9,0,38,190,0,11,21,5.0,21.1,1
Trevor Lawrence,JAX,23,QB,10,10,37,178,3,15,24,4.8,17.8,6
Joe Burrow,CIN,26,QB,9,9,35,141,4,15,23,4.0,15.7,4
J.K. Dobbins,BAL,24,RB,4,4,35,123,1,10,17,3.5,30.8,0
Sony Michel,LAC,27,RB,9,0,35,105,0,7,12,3.0,11.7,0
Patrick Mahomes,KAN,27,QB,9,9,34,215,1,14,20,6.3,23.9,3
James Cook,BUF,23,RB,9,0,33,169,1,8,33,5.1,18.8,1
Jerick McKinnon,KAN,30,RB,9,0,33,125,0,4,30,3.8,13.9,0
Justice Hill,BAL,25,RB,7,0,32,190,0,7,34,5.9,27.1,1
Russell Wilson,DEN,34,QB,8,8,32,121,1,10,18,3.8,15.1,4
Matt Breida,NYG,27,RB,9,0,29,93,0,6,13,3.2,10.3,0
Kenneth Gainwell,PHI,23,RB,9,0,29,129,3,9,11,4.4,14.3,0
Deebo Samuel,SFO,26,WR,8,7,28,165,1,5,51,5.9,20.6,2
Gus Edwards,BAL,27,RB,2,1,27,131,2,9,22,4.9,65.5,0
Justin Herbert,LAC,24,QB,9,9,27,73,0,6,14,2.7,8.1,3
Kenny Pickett,PIT,24,QB,6,5,27,149,3,13,23,5.5,24.8,3
Mac Jones,NWE,24,QB,6,6,25,78,1,7,15,3.1,13.0,2
Samaje Perine,CIN,27,RB,9,0,25,133,0,7,29,5.3,14.8,0
Boston Scott,PHI,27,RB,7,1,25,76,1,4,16,3.0,10.9,0
Rex Burkhead,HOU,32,RB,9,0,24,83,0,4,9,3.5,9.2,0
Elijah Mitchell,SFO,24,RB,2,1,24,130,0,8,16,5.4,65.0,0
Joshua Kelley,LAC,25,RB,6,0,23,104,1,6,16,4.5,17.3,0
Craig Reynolds,DET,26,RB,8,0,23,102,0,4,21,4.4,12.8,0
J.D. McKissic,WAS,29,RB,8,0,22,95,0,5,33,4.3,11.9,0
Curtis Samuel,WAS,26,WR,10,8,22,134,0,8,21,6.1,13.4,1
Kirk Cousins,MIN,34,QB,9,9,21,50,2,7,17,2.4,5.6,4
Ryan Tannehill,TEN,34,QB,7,7,21,41,1,6,11,2.0,5.9,2
Darrel Williams,ARI,27,RB,6,0,21,102,1,8,30,4.9,17.0,0
Zach Wilson,NYJ,23,QB,6,6,21,68,1,5,18,3.2,11.3,1
Chuba Hubbard,CAR,23,RB,8,1,20,111,1,7,17,5.6,13.9,1
Tua Tagovailoa,MIA,24,QB,8,8,19,35,0,2,18,1.8,4.4,2
Carson Wentz,WAS,30,QB,6,6,19,79,0,3,18,4.2,13.2,6
Tom Brady,TAM,45,QB,10,10,18,-8,0,0,1,-0.4,-0.8,3
Trestan Ebner,CHI,23,RB,10,0,18,46,0,2,11,2.6,4.6,2
Jimmy Garoppolo,SFO,31,QB,8,7,18,26,2,10,6,1.4,3.3,3
Dontrell Hilliard,TEN,27,RB,8,1,18,123,0,3,30,6.8,15.4,0
Nyheim Hines,2TM,26,RB,9,4,18,36,1,2,9,2.0,4.0,1
Zack Moss,2TM,25,RB,6,0,18,95,0,3,43,5.3,15.8,1
Malik Willis,TEN,23,QB,5,2,18,64,0,2,17,3.6,12.8,2
Andy Dalton,NOR,35,QB,7,7,17,34,0,4,14,2.0,4.9,3
Jared Goff,DET,28,QB,9,9,17,43,0,2,10,2.5,4.8,5
Taylor Heinicke,WAS,29,QB,4,4,17,60,1,4,9,3.5,15.0,1
Tyrion Davis-Price,SFO,22,RB,3,0,16,37,0,2,20,2.3,12.3,0
Justin Jackson,DET,26,RB,9,0,16,60,0,4,11,3.8,6.7,0
Trey Lance,SFO,22,QB,2,2,16,67,0,7,13,4.2,33.5,1
Aaron Rodgers,GNB,39,QB,10,10,16,64,0,5,18,4.0,6.4,7
Matt Ryan,IND,37,QB,8,8,16,49,1,5,39,3.1,6.1,11
Raheem Blackshear,CAR,23,RB,6,1,15,41,1,4,12,2.7,6.8,0
Mike Boone,DEN,27,RB,7,0,15,82,0,4,18,5.5,11.7,0
Derek Carr,LVR,31,QB,9,9,15,67,0,7,20,4.5,7.4,3
Phillip Lindsay,IND,28,RB,3,0,15,49,0,1,15,3.3,16.3,0
Malcolm Brown,LAR,29,RB,5,0,14,34,0,0,10,2.4,6.8,0
Keaontay Ingram,ARI,23,RB,5,0,14,28,1,2,11,2.0,5.6,0
Baker Mayfield,CAR,27,QB,6,5,14,40,1,4,17,2.9,6.7,6
Dak Prescott,DAL,29,QB,4,4,14,51,1,7,25,3.6,12.8,0
Avery Williams,ATL,24,RB,10,2,14,83,1,4,21,5.9,8.3,0
DeeJay Dallas,SEA,24,RB,10,0,13,65,0,4,16,5.0,6.5,1
Malik Davis,DAL,24,RB,4,0,13,61,0,2,17,4.7,15.3,0
Jamycal Hasty,JAX,26,RB,10,0,13,92,1,2,61,7.1,9.2,0
Mitchell Trubisky,PIT,28,QB,5,4,13,29,1,3,9,2.2,5.8,0
Tevin Coleman,SFO,29,RB,4,0,12,26,1,2,14,2.2,6.5,0
Davis Mills,HOU,24,QB,9,9,12,28,0,1,8,2.3,3.1,4
Isaiah Spiller,LAC,21,RB,3,0,12,27,0,1,7,2.3,9.0,0
Matthew Stafford,LAR,34,QB,8,8,12,5,1,3,4,0.4,0.6,5
Sam Ehlinger,IND,24,QB,2,2,11,54,0,3,19,4.9,27.0,1
Dwayne Washington,NOR,28,RB,9,0,11,38,0,2,8,3.5,4.2,0
Hassan Haskins,TEN,23,RB,9,0,10,42,0,2,9,4.2,4.7,0
J.J. Taylor,NWE,24,RB,1,0,10,9,0,0,5,0.9,9.0,0
Bailey Zappe,NWE,23,QB,4,2,10,0,0,0,5,0.0,0.0,4
Spencer Brown,CAR,24,RB,2,0,9,43,0,1,7,4.8,21.5,0
Chase Claypool,2TM,24,WR,10,8,9,59,0,3,15,6.6,5.9,0
Cooper Kupp,LAR,29,WR,9,9,9,52,1,4,20,5.8,5.8,2
Ronnie Rivers,LAR,23,RB,3,1,9,21,0,1,5,2.3,7.0,0
Cooper Rush,DAL,29,QB,6,5,9,6,0,1,6,0.7,1.0,2
Brandon Bolden,LVR,32,RB,8,0,8,34,0,1,12,4.3,4.3,0
Mike Davis,BAL,29,RB,7,0,8,18,0,1,10,2.3,2.6,1
Brandon Powell,LAR,27,WR,9,1,8,9,0,1,11,1.1,1.0,1
Zamir White,LVR,23,RB,9,0,8,19,0,1,22,2.4,2.1,0
Braxton Berrios,NYJ,27,WR,9,1,7,82,2,4,25,11.7,9.1,0
Devin Duvernay,BAL,25,WR,9,9,7,55,1,4,18,7.9,6.1,0
Travis Homer,SEA,24,RB,6,0,7,35,0,2,7,5.0,5.8,0
D.J. Moore,CAR,25,WR,10,10,7,39,0,1,11,5.6,3.9,0
P.J. Walker,CAR,27,QB,6,5,6,39,0,3,20,6.5,6.5,0
Jordan Wilkins,IND,28,RB,2,0,6,31,0,2,9,5.2,15.5,0
Jonathan Williams,WAS,28,RB,6,0,6,54,0,3,23,9.0,9.0,0
Jamal Agnew,JAX,27,WR,8,0,5,29,0,2,19,5.8,3.6,0
Tyreek Hill,MIA,28,WR,10,10,5,25,0,2,10,5.0,2.5,1
Alec Ingold,MIA,26,FB,10,9,5,6,1,4,2,1.2,0.6,0
Diontae Johnson,PIT,26,WR,9,9,5,22,0,0,8,4.4,2.4,1
Ty Johnson,NYJ,25,RB,9,0,5,26,0,0,12,5.2,2.9,0
Case Keenum,BUF,34,QB,2,0,5,0,0,0,4,0.0,0.0,0
CeeDee Lamb,DAL,23,WR,9,9,5,12,0,1,8,2.4,1.3,0
Isaiah McKenzie,BUF,27,WR,8,6,5,35,1,3,18,7.0,4.4,0
Rondale Moore,ARI,22,WR,7,7,5,1,0,1,9,0.2,0.1,0
Laviska Shenault Jr.,CAR,24,WR,6,1,5,48,1,1,41,9.6,8.0,0
Steven Sims,PIT,25,WR,4,1,5,18,0,2,11,3.6,4.5,0
Equanimeous St. Brown,CHI,26,WR,10,10,5,53,0,2,41,10.6,5.3,1
Jameis Winston,NOR,28,QB,3,3,5,16,0,0,6,3.2,5.3,3
Salvon Ahmed,MIA,24,RB,7,0,4,13,0,1,7,3.3,1.9,0
Gary Brightwell,NYG,23,RB,9,0,4,19,1,2,14,4.8,2.1,0
Michael Burton,KAN,30,FB,9,0,4,7,0,2,6,1.8,0.8,0
Ja'Marr Chase,CIN,22,WR,7,7,4,2,0,0,4,0.5,0.3,1
Myles Gaskin,MIA,25,RB,2,0,4,9,0,1,6,2.3,4.5,0
Mecole Hardman,KAN,24,WR,8,5,4,31,2,3,25,7.8,3.9,1
D'Ernest Johnson,CLE,26,RB,7,0,4,17,0,1,7,4.3,2.4,0
Colt McCoy,ARI,36,QB,1,1,4,4,0,2,3,1.0,4.0,1
Terry McLaurin,WAS,27,WR,10,10,4,11,0,1,7,2.8,1.1,1
Patrick Ricard,BAL,28,FB,9,8,4,10,0,3,5,2.5,1.1,0
Skylar Thompson,MIA,25,QB,3,1,4,9,0,1,9,2.3,3.0,1
Kadarius Toney,2TM,23,WR,4,2,4,56,0,2,32,14.0,14.0,0
Ke'Shawn Vaughn,TAM,25,RB,8,0,4,6,0,0,5,1.5,0.8,0
Davante Adams,LVR,30,WR,9,9,3,-1,0,0,4,-0.3,-0.1,1
Brandon Allen,CIN,30,QB,1,0,3,-1,0,1,2,-0.3,-1.0,0
Kendrick Bourne,NWE,27,WR,8,2,3,15,0,1,15,5.0,1.9,2
Joe Flacco,NYJ,37,QB,3,3,3,6,0,1,7,2.0,2.0,4
Chris Godwin,TAM,26,WR,8,7,3,5,0,0,2,1.7,0.6,0
Kevin Harris,NWE,22,RB,1,0,3,5,0,0,3,1.7,5.0,0
Chad Henne,KAN,37,QB,2,0,3,-3,0,0,-1,-1.0,-1.5,1
Zander Horvath,LAC,24,FB,9,1,3,5,0,1,3,1.7,0.6,0
Julio Jones,TAM,33,WR,5,2,3,17,0,2,12,5.7,3.4,0
Velus Jones Jr.,CHI,25,WR,5,0,3,41,0,3,18,13.7,8.2,2
Zay Jones,JAX,27,WR,9,8,3,21,0,1,14,7.0,2.3,0
Kyle Juszczyk,SFO,31,FB,8,5,3,10,1,2,9,3.3,1.3,0
Christian Kirk,JAX,26,WR,10,10,3,12,0,0,5,4.0,1.2,1
Trace McSorley,ARI,27,QB,2,0,3,20,0,1,14,6.7,10.0,0
Bryce Perkins,LAR,26,QB,1,0,3,4,0,0,8,1.3,4.0,0
George Pickens,PIT,21,WR,9,5,3,24,1,2,22,8.0,2.7,0
Kalif Raymond,DET,28,WR,9,3,3,23,0,1,12,7.7,2.6,1
Brett Rypien,DEN,26,QB,1,1,3,9,0,2,6,3.0,9.0,1
Amon-Ra St. Brown,DET,23,WR,8,8,3,70,0,1,58,23.3,8.8,0
Trent Taylor,CIN,28,WR,9,1,3,18,0,0,9,6.0,2.0,2
Tyrod Taylor,NYG,33,QB,1,0,3,30,0,3,13,10.0,30.0,1
Tyquan Thornton,NWE,22,WR,5,2,3,16,1,1,19,5.3,3.2,0
DJ Turner,LVR,25,WR,5,0,3,20,0,1,18,6.7,4.0,1
KaVontae Turpin,DAL,26,WR,9,0,3,17,0,1,11,5.7,1.9,0
Montrell Washington,DEN,23,WR,9,0,3,30,0,0,19,10.0,3.3,3
Christian Watson,GNB,23,WR,7,4,3,19,1,1,15,6.3,2.7,0
Derek Watt,PIT,30,FB,9,2,3,7,0,3,3,2.3,0.8,0
John Wolford,LAR,27,QB,1,1,3,3,0,1,4,1.0,3.0,2
Mark Andrews,BAL,27,TE,8,8,2,7,0,2,4,3.5,0.9,0
Teddy Bridgewater,MIA,30,QB,4,1,2,21,0,2,11,10.5,5.3,0
Treylon Burks,TEN,22,WR,5,2,2,12,0,1,8,6.0,2.4,0
Parris Campbell,IND,25,WR,10,9,2,29,0,1,28,14.5,2.9,0
Greg Dortch,ARI,24,WR,10,2,2,4,0,0,3,2.0,0.4,1
Jeff Driskel,HOU,29,QB,2,0,2,15,0,2,10,7.5,7.5,0
D'Wayne Eskridge,SEA,25,WR,10,0,2,10,0,0,6,5.0,1.0,0
C.J. Ham,MIN,29,FB,9,1,2,6,1,2,3,3.0,0.7,0
KJ Hamler,DEN,23,WR,7,0,2,23,0,1,14,11.5,3.3,0
Richie James,NYG,27,WR,9,1,2,6,0,0,4,3.0,0.7,3
Justin Jefferson,MIN,23,WR,9,9,2,13,1,2,10,6.5,1.4,0
Duke Johnson,BUF,29,RB,1,0,2,4,0,1,4,2.0,4.0,0
Tony Jones,2TM,25,RB,4,0,2,8,0,0,6,4.0,2.0,0
Travis Kelce,KAN,33,TE,9,9,2,5,0,1,4,2.5,0.6,0
Cole Kmet,CHI,23,TE,10,10,2,9,0,1,8,4.5,0.9,0
Jakobi Meyers,NWE,26,WR,7,6,2,9,0,2,7,4.5,1.3,1
Ty Montgomery,NWE,29,WR,1,0,2,-2,0,0,0,-1.0,-2.0,0
Elijah Moore,NYJ,22,WR,8,6,2,-4,0,0,2,-2.0,-0.5,0
Gunner Olszewski,PIT,26,WR,8,0,2,18,0,1,18,9.0,2.3,2
K.J. Osborn,MIN,25,WR,9,8,2,1,0,1,2,0.5,0.1,0
Breshad Perriman,TAM,29,WR,8,2,2,-7,0,0,0,-3.5,-0.9,2
Dante Pettis,CHI,27,WR,10,3,2,37,0,2,29,18.5,3.7,1
Brock Purdy,SFO,23,QB,2,0,2,0,0,0,1,0.0,0.0,0
Anthony Schwartz,CLE,22,WR,8,0,2,20,0,1,15,10.0,2.5,0
Trey Sermon,PHI,23,RB,2,0,2,19,0,2,14,9.5,9.5,0
Durham Smythe,MIA,27,TE,9,9,2,1,1,1,1,0.5,0.1,0
Jaylen Waddle,MIA,24,WR,10,10,2,17,0,0,9,8.5,1.7,1
Damien Williams,ATL,30,RB,1,1,2,2,0,0,2,1.0,2.0,0
Garrett Wilson,NYJ,22,WR,9,5,2,5,0,0,7,2.5,0.6,1
Brandon Aiyuk,SFO,24,WR,9,9,1,7,0,0,7,7.0,0.8,1
Tutu Atwell,LAR,23,WR,5,0,1,9,0,0,9,9.0,1.8,0
C.J. Beathard,JAX,29,QB,1,0,1,-1,0,0,-1,-1.0,-1.0,0
Andrew Beck,DEN,26,FB,8,4,1,-1,0,0,-1,-1.0,-0.1,0
Daniel Bellinger,NYG,22,TE,7,6,1,2,1,1,2,2.0,0.3,0
DeAndre Carter,LAC,29,WR,9,6,1,-5,0,0,-5,-5.0,-0.6,1
Tyler Conklin,NYJ,27,TE,9,9,1,1,0,1,1,1.0,0.1,2
Brandin Cooks,HOU,29,WR,8,8,1,5,0,0,5,5.0,0.6,0
Jaelon Darden,TAM,23,WR,10,0,1,2,0,0,2,2.0,0.2,0
Jahan Dotson,WAS,22,WR,5,3,1,-10,0,0,-10,-10.0,-2.0,0
Romeo Doubs,GNB,22,WR,9,7,1,11,0,1,11,11.0,1.2,2
Ashton Dulin,IND,25,WR,6,2,1,3,0,0,3,3.0,0.5,0
Evan Engram,JAX,28,TE,10,7,1,0,0,0,0,0.0,0.0,0
Gerald Everett,LAC,28,TE,9,6,1,0,0,0,0,0.0,0.0,0
Demetric Felton,CLE,24,RB,5,0,1,-4,0,0,-4,-4.0,-0.8,1
Kylen Granson,IND,24,TE,10,3,1,0,0,0,0,0.0,0.0,1
Noah Gray,KAN,23,TE,9,4,1,1,1,1,1,1.0,0.1,0
Kylin Hill,GNB,24,RB,2,0,1,7,0,1,7,7.0,3.5,0
Mack Hollins,LVR,29,WR,9,8,1,0,0,0,0,0.0,0.0,0
